,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
200401,3.7586,3.7129,6.9216,1.5064,2.1004,2.1733
200402,0.5332,0.8835,0.0539,1.0793,1.8887,2.5053
200403,1.2442,0.2933,0.2855,-2.0703,-0.7503,-0.6763
200404,-3.4479,-3.4291,-6.1085,-0.4002,-3.6384,-3.0636
200405,1.1209,1.0111,0.5318,1.2135,0.7832,0.9725
200406,3.2829,4.6641,4.4915,1.2207,1.6775,2.7323
200407,-9.854,-5.3393,-4.6954,-4.6005,-2.4856,-1.7159
200408,-2.4749,-0.2655,-1.106,-0.5461,1.4036,0.0036
200409,5.6778,4.8441,3.4425,0.7496,1.5207,2.4247
200410,3.0176,1.2707,1.2353,1.6336,0.8173,1.9237
200411,8.2215,8.6541,9.2439,2.9955,4.7692,5.8669
200412,4.2059,2.2722,4.1129,3.5348,3.0661,3.4702
200501,-5.5051,-3.2436,-2.4839,-3.0514,-1.594,-2.242
200502,0.5589,2.1224,2.7798,1.8487,1.938,2.8967
200503,-4.1245,-2.3478,-2.0699,-1.4605,-2.7046,-0.5238
200504,-6.3769,-6.0325,-6.2467,-1.8218,-2.2972,-2.7907
200505,7.3653,6.1785,5.5798,3.5975,2.8626,3.6963
200506,2.6405,4.0158,4.4517,-0.9304,1.5587,2.5186
200507,6.7511,6.7483,6.2934,4.5374,2.4172,3.7838
200508,-2.2421,-1.2284,-1.2861,-1.4594,-0.9501,0.0605
200509,0.3745,0.5989,0.4083,0.229,1.1165,1.7114
200510,-3.8449,-2.6739,-2.4938,-1.1857,-2.1496,-2.3472
200511,5.1495,4.4139,3.7694,3.9154,3.3837,2.813
200512,-0.163,-0.472,-0.2531,-0.8664,1.2046,0.0755
200601,8.5394,9.3187,8.1069,1.7254,3.415,4.323
200602,-0.4794,-0.3939,-0.476,-0.3635,0.7116,-0.9737
200603,4.2064,4.9877,5.5523,1.5411,1.0381,1.3843
200604,-0.6844,0.9187,1.0761,-0.1179,2.1433,3.1137
200605,-7.7856,-4.8761,-4.0064,-3.2177,-2.7898,-1.9912
200606,-0.5988,0.1755,0.0681,-0.2261,0.0506,0.8122
200607,-5.9172,-2.7611,-2.2792,-0.8209,0.6967,1.0816
200608,3.165,2.5415,2.5045,3.1981,1.4847,0.4392
200609,0.8921,0.9456,0.9914,2.3782,2.2062,2.3358
200610,5.9812,4.9504,4.7971,3.3084,2.867,4.0527
200611,2.6341,2.5628,2.877,1.654,1.9345,1.4716
200612,-0.7867,0.5477,2.3134,0.1961,1.6864,3.3764
200701,2.3337,0.7925,2.2957,1.8522,1.6136,1.3998
200702,-0.2189,-0.1953,-0.8679,-2.1449,-1.823,-1.7113
200703,1.351,1.1398,0.5523,0.7422,1.3234,1.0915
200704,2.3275,2.0052,1.4061,4.7853,3.7225,3.1563
200705,4.0789,3.8244,2.9063,3.0416,3.3758,4.037
200706,-0.5863,-1.1348,-1.9771,-1.1811,-2.5152,-2.2071
200707,-4.882,-5.8342,-7.9078,-1.4868,-4.4136,-5.3988
200708,1.6688,2.0729,-0.9419,1.6112,1.5632,-0.3107
200709,2.5817,0.6601,0.1067,4.639,2.064,3.3734
200710,3.7114,1.6019,0.2529,3.0009,1.1849,0.7573
200711,-7.2073,-6.8939,-7.7993,-3.3603,-5.7897,-5.2245
200712,0.2833,-1.0712,-0.8237,-0.554,-1.2269,-0.5409
200801,-8.4206,-6.033,-4.3575,-7.4846,-4.2337,-4.5895
200802,-4.3044,-3.0611,-3.8206,-2.4087,-3.563,-4.8548
200803,-1.5899,0.9473,-0.1493,0.6798,-3.3095,-1.1325
200804,5.1537,3.1884,1.734,3.6863,6.1483,4.9265
200805,5.4513,5.4014,3.0848,2.0623,0.2939,1.6014
200806,-7.5065,-7.6534,-8.6458,-7.3513,-9.3898,-11.079
200807,2.1857,2.5611,5.4322,-1.3978,-2.8205,6.6206
200808,3.005,3.848,6.8513,1.2525,0.8861,0.3833
200809,-11.2388,-7.4654,-6.5708,-9.7314,-10.4767,-2.0402
200810,-22.136,-19.2745,-20.5951,-15.0629,-17.5993,-22.5436
200811,-12.1798,-10.945,-14.5696,-6.2962,-6.8885,-15.9585
200812,4.9272,4.2716,4.9962,1.6308,0.6284,0.7957
200901,-7.4945,-10.2764,-15.9695,-5.0623,-9.9783,-19.0425
200902,-9.7335,-11.3272,-15.2876,-7.6942,-13.0175,-16.7512
